"Case Number","Incident Datetime","Incident ID","Incident Type Primary","Incident Description","Parent Incident Type","Hour of Day","Day of Week","Address","City","State","Location","Latitude","Longitude","Created At","updated_at","zip_code","neighborhood","Council District","Council District 2011","Census Tract","Census Block Group","Census Block","2010 Census Tract ","2010 Census Block Group","2010 Census Block","Police District","TRACTCE20","GEOID20_tract","GEOID20_blockgroup","GEOID20_block"
"25-2070165","2025 Jul 26 03:20:51 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","3","Saturday","0 Block ARNOLD ST","Buffalo","NY","POINT (-78.887 42.916)","42.916","-78.887","2025 Jul 26 03:21:51 AM",,"14213","Elmwood Bidwell","NIAGARA","NIAGARA","65.01","4","4006","65.01","4","4006","District D","006501","36029006501","360290065014","360290065014006"
"25-2070188","2025 Jul 26 04:00:25 AM",,"BURGLARY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Breaking & Entering","4","Saturday","100 Block CHURCH ST","Buffalo","NY","POINT (-78.88 42.884)","42.884","-78.88","2025 Jul 26 04:06:25 AM",,"14202","Central","FILLMORE","FILLMORE","71.02","1","1007","71.02","1","1011","District B","007102","36029007102","360290071021","360290071021007"
"25-2070196","2025 Jul 26 04:15:08 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","4","Saturday","800 Block ABBOTT RD","Buffalo","NY","POINT (-78.809 42.842)","42.842","-78.809","2025 Jul 26 04:16:08 AM",,"14220","South Park","SOUTH","SOUTH","7","5","5003","7","5","5003","District A","000700","36029000700","360290007005","360290007005003"
"25-2220617","2025 Jul 26 05:00:00 AM",,"BURGLARY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Breaking & Entering","13","Sunday","200 Block SANDERS RD","Buffalo","NY","POINT (-78.859 42.957)","42.957","-78.859","2025 Aug 10 01:55:02 PM",,"14216","North Park","DELAWARE","DELAWARE","51","1","1010","51","1","1010","District D","005100","36029005100","360290051001","360290051001010"
"25-2070247","2025 Jul 26 06:11:28 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","6","Saturday","100 Block MELROSE ST","Buffalo","NY","POINT (-78.814 42.857)","42.857","-78.814","2025 Jul 26 06:15:28 AM",,"14210","Seneca-Cazenovia","SOUTH","SOUTH","10","4","4002","10","4","4002","District A","001000","36029001000","360290010004","360290010004002"
"25-2090680","2025 Jul 26 09:30:00 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","14","Monday","800 Block Delaware AV","Buffalo","NY",,,,"2025 Jul 28 02:36:21 PM",,"14201","Elmwood Bryant","NIAGARA","NIAGARA","67.01","3","3001","67.01","3","1007","District B","006701","36029006701","360290067013","360290071043001"
"25-2070646","2025 Jul 26 11:16:00 AM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","14","Saturday","0 Block HERTEL AV","Buffalo","NY","POINT (-78.905 42.941)","42.941","-78.905","2025 Jul 26 02:17:00 PM",,"14207","Black Rock","NORTH","NORTH","59","2","2005","59","2","2006","District D","005900","36029005900","360290059002","360290059002005"
"25-2070460","2025 Jul 26 11:31:13 AM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","11","Saturday","300 Block DARTMOUTH AV","Buffalo","NY","POINT (-78.813 42.943)","42.943","-78.813","2025 Jul 26 11:31:13 AM",,"14215","Kensington-Bailey","UNIVERSITY","UNIVERSITY","43","2","2002","43","2","2002","District E","004300","36029004300","360290043002","360290043002002"
"25-2070466","2025 Jul 26 11:35:12 AM",,"SEXUAL ABUSE","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Sexual Offense","11","Saturday","100 Block EASTON AV","Buffalo","NY","POINT (-78.807 42.927)","42.927","-78.807","2025 Jul 26 11:36:12 AM",,"14215","Kenfield","UNIVERSITY","UNIVERSITY","41","2","2005","41","2","2005","District E","004100","36029004100","360290041002","360290041002005"
"25-2090802","2025 Jul 26 12:00:00 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","16","Monday","600 Block AMHERST ST","Buffalo","NY","POINT (-78.816 42.94)","42.94","-78.816","2025 Jul 28 04:20:00 PM",,"14215","Kensington-Bailey","MASTEN","MASTEN","42","1","1000","42","1","1000","District E","004200","36029004200","360290042001","360290042001000"
"25-2450896","2025 Jul 26 12:00:00 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","19","Tuesday","BROADWAY & GATCHELL ST","Buffalo","NY","POINT (-78.815 42.897)","42.897","-78.815","2025 Sep 02 07:08:00 PM",,"14212","Lovejoy","FILLMORE","FILLMORE","24","5","5000","24","1","1000","District C","002400","36029002400","360290024005","360290024005000"
"25-2070557","2025 Jul 26 01:11:32 PM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","13","Saturday","3400 Block BAILEY AV","Buffalo","NY","POINT (-78.814 42.949)","42.949","-78.814","2025 Jul 26 01:12:00 PM",,"14215","University Heights","UNIVERSITY","UNIVERSITY","9805","1","1006","46.02","1","1002","District E","980500","36029980500","360299805001","360299805001006"
"25-2071063","2025 Jul 26 02:00:00 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","20","Saturday","0 Block RIVERSIDE AV","Buffalo","NY","POINT (-78.906 42.952)","42.952","-78.906","2025 Jul 26 08:59:46 PM",,"14207","Riverside","NORTH","NORTH","58.02","2","2003","58.02","2","2003","District D","005802","36029005802","360290058022","360290058022003"
"25-2070623","2025 Jul 26 02:02:39 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","14","Saturday","3000 Block BAILEY AV","Buffalo","NY","POINT (-78.814 42.938)","42.938","-78.814","2025 Jul 26 02:03:39 PM",,"14215","Kensington-Bailey","MASTEN","MASTEN","42","1","1004","42","1","1004","District E","004200","36029004200","360290042001","360290042001004"
"25-2070652","2025 Jul 26 02:18:43 PM",,"SEXUAL ABUSE","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Sexual Offense","14","Saturday","0 Block BEITER WK","Buffalo","NY","POINT (-78.8 42.932)","42.932","-78.8","2025 Jul 26 02:18:43 PM",,"14215","Kenfield","UNIVERSITY","UNIVERSITY","44.02","1","1003","44.02","1","1000","District E","004402","36029004402","360290044021","360290044021003"
"25-2260601","2025 Jul 26 02:50:08 PM",,"BURGLARY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Breaking & Entering","13","Thursday","600 Block AMHERST ST","Buffalo","NY","POINT (-78.816 42.94)","42.94","-78.816","2025 Aug 14 01:58:08 PM",,"14215","Kensington-Bailey","MASTEN","MASTEN","42","1","1000","42","1","1000","District E","004200","36029004200","360290042001","360290042001000"
"25-2070692","2025 Jul 26 02:53:33 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","14","Saturday","600 Block AMHERST ST","Buffalo","NY","POINT (-78.816 42.94)","42.94","-78.816","2025 Jul 26 02:54:33 PM",,"14215","Kensington-Bailey","MASTEN","MASTEN","42","1","1000","42","1","1000","District E","004200","36029004200","360290042001","360290042001000"
"25-2070743","2025 Jul 26 03:47:00 PM",,"BURGLARY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Breaking & Entering","15","Saturday","300 Block OHIO ST","Buffalo","NY","POINT (-78.867 42.862)","42.862","-78.867","2025 Jul 26 03:48:42 PM",,"14203","Central",,"UnAssigned","5","1","1025","5","1","1034","District A","000500","36029000500","360290005001","360290005001025"
"25-2070803","2025 Jul 26 04:53:55 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","16","Saturday","0 Block N NORTH PARK AV","Buffalo","NY","POINT (-78.856 42.947)","42.947","-78.856","2025 Jul 26 04:58:55 PM",,"14216","North Park","DELAWARE","DELAWARE","48","1","1007","48","1","1007","District D","004800","36029004800","360290048001","360290048001007"
"25-2070842","2025 Jul 26 05:29:30 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","17","Saturday","600 Block PROSPECT AV","Buffalo","NY","POINT (-78.892 42.903)","42.903","-78.892","2025 Jul 26 05:30:30 PM",,"14213","West Side","NIAGARA","NIAGARA","70","3","3013","70","3","3010","District B","007000","36029007000","360290070003","360290070003013"
"25-2070933","2025 Jul 26 06:59:27 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","19","Saturday","1100 Block HERTEL AV","Buffalo","NY","POINT (-78.866 42.947)","42.947","-78.866","2025 Jul 26 07:05:27 PM",,"14216","North Park","DELAWARE","DELAWARE","49.02","3","3003","49","5","5003","District D","004902","36029004902","360290049023","360290049023003"
"25-2071140","2025 Jul 26 07:00:00 PM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","22","Saturday","ESSER AV & BAXTER ST","Buffalo","NY","POINT (-78.906 42.957)","42.957","-78.906","2025 Jul 26 10:02:18 PM",,"14207","Riverside","NORTH","NORTH","58.01","3","3003","58.01","3","3003","District D","005801","36029005801","360290058013","360290058013003"
"25-2071014","2025 Jul 26 08:11:50 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","20","Saturday","1100 Block HERTEL AV","Buffalo","NY","POINT (-78.867 42.948)","42.948","-78.867","2025 Jul 26 08:11:50 PM",,"14216","North Park","DELAWARE","DELAWARE","51","4","4002","51","4","4002","District D","005100","36029005100","360290051004","360290051004002"
"25-2071042","2025 Jul 26 08:43:51 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","20","Saturday","2500 Block MAIN ST","Buffalo","NY","POINT (-78.842 42.937)","42.937","-78.842","2025 Jul 26 08:44:51 PM",,"14214","Parkside","DELAWARE","MASTEN","40.02","2","2006","40.01","5","5006","District D","004002","36029004002","360290040022","360290040022006"
"25-2120262","2025 Jul 26 09:40:29 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","8","Thursday","2900 Block MAIN ST","Buffalo","NY","POINT (-78.833 42.946)","42.946","-78.833","2025 Jul 31 08:14:29 AM",,"14214","Central Park","DELAWARE","DELAWARE","45","1","1010","45","1","1014","District D","004500","36029004500","360290045001","360290045001010"
"25-2071114","2025 Jul 26 09:44:27 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","21","Saturday","400 Block PEARL ST","Buffalo","NY","POINT (-78.874 42.891)","42.891","-78.874","2025 Jul 26 09:44:27 PM",,"14202","Central","FILLMORE","ELLICOTT","165","2","2019","165","1","1021","District B","016500","36029016500","360290165002","360290165002019"
"25-2071139","2025 Jul 26 10:01:27 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","22","Saturday","FULTON @ CHICAGOO & CHICAGO ST","Buffalo","NY","POINT (-78.868 42.873)","42.873","-78.868","2025 Jul 26 10:01:27 PM",,"14204","Ellicott","ELLICOTT","FILLMORE","164","1","1008","164","1","1015","District A","016400","36029016400","360290164001","360290164001008"
"25-2071141","2025 Jul 26 10:02:51 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","22","Saturday","2600 Block DELAWARE AV","Buffalo","NY",,,,"2025 Jul 26 10:03:51 PM",,"14207","West Hertel","NORTH","NORTH","50","2","3008","55","3","1002","District D","005000","36029005000","360290050002","360290055003008"
"25-2141177","2025 Jul 26 10:41:00 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","22","Saturday","600 Block MAIN ST","Buffalo","NY",,,,"2025 Aug 02 10:42:55 PM",,"14202","Lower West Side","FILLMORE","FILLMORE","5","1","1009","71.02","1","1019","District B","000500","36029000500","360290005001","360290165001009"
"25-2071193","2025 Jul 26 10:47:21 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","22","Saturday","200 Block LORING AV","Buffalo","NY","POINT (-78.844 42.926)","42.926","-78.844","2025 Jul 26 10:48:21 PM",,"14214","Hamlin Park","MASTEN","MASTEN","52.02","2","2004","52.02","2","2002","District E","005202","36029005202","360290052022","360290052022004"
"25-2080263","2025 Jul 26 11:00:00 PM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","7","Sunday","0 Block DART ST","Buffalo","NY","POINT (-78.892 42.928)","42.928","-78.892","2025 Jul 27 07:14:10 AM",,"14213","Upper West Side","DELAWARE","NORTH","171","5","5006","171","5","5007","District D","017100","36029017100","360290171005","360290171005006"
"25-2080005","2025 Jul 26 11:30:00 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","0","Sunday","100 Block GRIDER ST","Buffalo","NY","POINT (-78.829 42.918)","42.918","-78.829","2025 Jul 27 12:01:24 AM",,"14215","Delavan Grider","MASTEN","MASTEN","34","2","2002","34","2","2002","District E","003400","36029003400","360290034002","360290034002002"
"25-2071242","2025 Jul 26 11:40:46 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","23","Saturday","100 Block WILKES AV","Buffalo","NY","POINT (-78.804 42.927)","42.927","-78.804","2025 Jul 26 11:40:46 PM",,"14215","Kenfield","UNIVERSITY","UNIVERSITY","41","4","4002","41","4","4002","District E","004100","36029004100","360290041004","360290041004002"
"25-2090723","2025 Jul 27 12:00:52 AM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","15","Monday","100 Block CULVER RD","Buffalo","NY","POINT (-78.817 42.839)","42.839","-78.817","2025 Jul 28 03:07:52 PM",,"14220","South Park","SOUTH","SOUTH","6","2","2002","6","2","2002","District A","000600","36029000600","360290006002","360290006002002"
"25-2080096","2025 Jul 27 01:30:00 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","1","Sunday","0 Block ELMWOOD AV","Buffalo","NY","POINT (-78.877 42.898)","42.898","-78.877","2025 Jul 27 01:42:53 AM",,"14201","Allentown","FILLMORE","FILLMORE","68.02","3","3004","68","4","4003","District B","006802","36029006802","360290068023","360290068023004"
"25-2080116","2025 Jul 27 02:14:55 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","2","Sunday","1500 Block NIAGARA ST","Buffalo","NY",,,,"2025 Jul 27 02:15:55 AM",,"14213","Upper West Side","NIAGARA","NIAGARA","61","1","1002","61","1","1009","District D","006100","36029006100","360290061001","360290171001002"
"25-2080143","2025 Jul 27 02:52:42 AM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","2","Sunday","NORMAL AV & MASSACHUSETTS ST","Buffalo","NY","POINT (-78.893 42.911)","42.911","-78.893","2025 Jul 27 02:52:42 AM",,"14213","West Side","NIAGARA","NIAGARA","69.01","3","3008","69.01","3","3008","District B","006901","36029006901","360290069013","360290069013008"
"25-2080189","2025 Jul 27 04:19:22 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","4","Sunday","600 Block PROSPECT AV","Buffalo","NY","POINT (-78.892 42.903)","42.903","-78.892","2025 Jul 27 04:20:22 AM",,"14213","West Side","NIAGARA","NIAGARA","70","3","3013","70","3","3010","District B","007000","36029007000","360290070003","360290070003013"
"25-2080204","2025 Jul 27 04:45:00 AM",,"ROBBERY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Robbery","5","Sunday","LIDDELL ST & BROADWAY","Buffalo","NY","POINT (-78.82 42.896)","42.896","-78.82","2025 Jul 27 05:12:00 AM",,"14212","Genesee-Moselle","FILLMORE","FILLMORE","28.01","1","1001","28","2","2003","District C","002801","36029002801","360290028011","360290028011001"
"25-2080258","2025 Jul 27 06:58:50 AM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","6","Sunday","EGGERT RD & DAVIDSON AV","Buffalo","NY","POINT (-78.799 42.937)","42.937","-78.799","2025 Jul 27 06:59:50 AM",,"14215","Kensington-Bailey","UNIVERSITY","UNIVERSITY","44.01","4","4005","44.01","4","4005","District E","004401","36029004401","360290044014","360290044014005"
"25-2110627","2025 Jul 27 10:00:37 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","14","Wednesday","900 Block ELMWOOD AV","Buffalo","NY","POINT (-78.877 42.923)","42.923","-78.877","2025 Jul 30 02:30:37 PM",,"14222","Elmwood Bidwell","DELAWARE","DELAWARE","63.02","2","2003","63.02","2","2003","District D","006302","36029006302","360290063022","360290063022003"
"25-2090725","2025 Jul 27 11:00:42 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","15","Monday","2200 Block DELAWARE AV","Buffalo","NY","POINT (-78.868 42.945)","42.945","-78.868","2025 Jul 28 03:09:42 PM",,"14216","North Park","DELAWARE","DELAWARE","49.02","3","3005","49","5","5005","District D","004902","36029004902","360290049023","360290049023005"
